SpatialDim,TimeDim,Obesity,Undernourishment
GBR,2017,25.8,1.7
GBR,2017,25.8,1.3
IND,2013,4.4,21.8
IND,2013,4.4,22.6
IND,2013,4.4,21.0
USA,1997,22.7,2.5
USA,1997,22.7,1.0
USA,1997,22.7,1.8
USA,2010,35.0,2.2
USA,2010,35.0,1.0
USA,2010,35.0,1.6
LKA,2018,11.4,13.0
LKA,2018,11.4,17.0
LKA,2018,11.4,14.9
LKA,1992,1.9,31.3
LKA,1992,1.9,34.1
LKA,1992,1.9,32.7
IND,2015,4.9,20.7
IND,2015,4.9,19.9
IND,2015,4.9,19.1
IND,2000,1.1,33.5
IND,2000,1.1,32.7
IND,2000,1.1,34.4
LKA,1990,0.6,32.8
LKA,1990,0.6,35.3
LKA,1990,0.6,34.0
USA,1990,18.6,1.2
USA,1990,18.6,2.3
USA,1990,18.6,3.3
KEN,1998,1.9,15.1
KEN,1998,1.9,11.4
KEN,1998,1.9,19.0
GBR,2013,25.0,1.5
GBR,2013,25.0,1.7
GBR,2013,25.0,1.2
USA,2010,36.6,2.2
USA,2010,36.6,1.0
USA,2010,36.6,1.6
LKA,1990,1.7,32.8
LKA,1990,1.7,35.3
LKA,1990,1.7,34.0
GBR,2006,22.0,1.4
GBR,2006,22.0,1.0
GBR,2006,22.0,1.8
USA,2014,37.0,1.6
USA,2014,37.0,2.2
USA,2014,37.0,1.1
KEN,1994,4.1,15.6
KEN,1994,4.1,11.6
KEN,1994,4.1,19.9
LKA,1992,0.7,31.3
LKA,1992,0.7,34.1
LKA,1992,0.7,32.7
GBR,1999,19.4,2.0
GBR,1999,19.4,1.5
GBR,1999,19.4,1.0
KEN,2017,15.2,8.8
KEN,2017,15.2,15.3
KEN,2017,15.2,12.0
KEN,2002,4.8,11.0
KEN,2002,4.8,18.0
KEN,2002,4.8,14.5
LKA,2017,10.7,13.5
LKA,2017,10.7,15.4
LKA,2017,10.7,17.5
GBR,2016,26.4,1.3
GBR,2016,26.4,1.5
GBR,2016,26.4,1.7
GBR,1997,18.0,1.6
GBR,1997,18.0,1.0
GBR,1997,18.0,2.1
GBR,2010,25.0,1.4
GBR,2010,25.0,1.7
GBR,2010,25.0,1.1
GBR,1992,13.2,2.0
GBR,1992,13.2,2.7
GBR,1992,13.2,1.2
KEN,2010,7.4,9.8
KEN,2010,7.4,16.1
KEN,2010,7.4,12.9
USA,2002,30.8,1.0
USA,2002,30.8,2.3
USA,2002,30.8,1.7
GBR,1991,14.0,2.8
GBR,1991,14.0,2.1
GBR,1991,14.0,1.3
IND,1991,1.2,40.1
IND,1991,1.2,40.5
IND,1991,1.2,41.1
IND,2015,6.5,20.7
IND,2015,6.5,19.9
IND,2015,6.5,19.1
IND,2009,4.6,24.9
IND,2009,4.6,26.5
IND,2009,4.6,25.7
LKA,1999,3.3,26.1
LKA,1999,3.3,29.9
LKA,1999,3.3,28.0
